t=2023-03-17T12:22:58+0300 lvl=info msg="no configuration paths supplied"
t=2023-03-17T12:22:58+0300 lvl=info msg="using configuration at default config path" path=/home/ruslan1/.config/ngrok/ngrok.yml
t=2023-03-17T12:22:58+0300 lvl=info msg="open config file" path=/home/ruslan1/.config/ngrok/ngrok.yml err=nil
t=2023-03-17T12:22:58+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2023-03-17T12:22:59+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2023-03-17T12:22:59+0300 lvl=info msg="client session established" obj=csess id=b2df5099f7d9
t=2023-03-17T12:22:59+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://88a0-85-91-197-241.eu.ngrok.io
t=2023-03-17T12:22:59+0300 lvl=info msg="update available" obj=updater
t=2023-03-17T12:24:37+0300 lvl=info msg="join connections" obj=join id=3311b64b160e l=127.0.0.1:8080 r=85.91.197.241:13266
t=2023-03-17T12:24:40+0300 lvl=info msg="join connections" obj=join id=de63306dcf4a l=127.0.0.1:8080 r=85.91.197.241:13266
t=2023-03-17T12:26:36+0300 lvl=info msg="join connections" obj=join id=1383481f7fe9 l=127.0.0.1:8080 r=85.91.197.241:3557
t=2023-03-17T12:38:38+0300 lvl=info msg="join connections" obj=join id=80f06289ebaf l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=e0b435087eff l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=bf4513b2465b l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=3906a4d26c94 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=ec02b01760db l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=72a9f0d1854a l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=70b78ece7621 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=81ddf06882c2 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=f63aba67341d l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=0dbfe5059bd0 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=470284926613 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=9387d454df7c l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=641b02863a9c l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=cbd9f835d92d l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=a99d34228520 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=b8246fbb93d5 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=b3900bdf7655 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=979e5b647779 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=fea2df33ab0b l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=56fda25c9e36 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=8a1c7a8253f3 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=6d86e50138d1 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=255716650086 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=5846aeeef06d l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=6d74ad2ffa99 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=618a165d24b3 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=cdc7516e5d5c l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:41+0300 lvl=info msg="join connections" obj=join id=6e8841580609 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:42+0300 lvl=info msg="join connections" obj=join id=e109317b0926 l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:42+0300 lvl=info msg="join connections" obj=join id=ecd714165cba l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:42+0300 lvl=info msg="join connections" obj=join id=fa5cb75cc09c l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:38:42+0300 lvl=info msg="join connections" obj=join id=1534aaf06e8b l=127.0.0.1:8080 r=85.91.197.241:12066
t=2023-03-17T12:39:10+0300 lvl=info msg="join connections" obj=join id=e29a483c3a3d l=127.0.0.1:8080 r=85.91.197.241:9703
t=2023-03-17T12:39:27+0300 lvl=info msg="join connections" obj=join id=69c01510d8c0 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:27+0300 lvl=info msg="join connections" obj=join id=90e7adf8fbca l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=0002f56e1441 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=7c945d1b5ddc l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=69ec5176f691 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=d8e7011646fb l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=ab9c65592d46 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=4c5b08227141 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=b85e53720ac7 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=a176fee0ba09 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=705a6cd06aa8 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:29+0300 lvl=info msg="join connections" obj=join id=f772fd26f236 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:31+0300 lvl=info msg="join connections" obj=join id=ccc3ffa95694 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:31+0300 lvl=info msg="join connections" obj=join id=9ebaaac4528e l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:31+0300 lvl=info msg="join connections" obj=join id=72a5b898aff1 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=8fac20654b32 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=f7f0566614b9 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=2607ddbd0f56 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=b7d4d0d0e6fc l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=ab706d20d51b l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=6281395467ef l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=81c026bbc3be l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=7363b66d81fb l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=12b78558bce5 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=16f2e71a5a5c l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=f4faabc27a0f l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=f95d4c043c65 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=bb8661c399dd l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=3e8bf55cacb4 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=3fb838efd182 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=1aa2da2f3cbb l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=9341af777af3 l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:32+0300 lvl=info msg="join connections" obj=join id=9de3138f56ae l=127.0.0.1:8080 r=85.91.197.241:9714
t=2023-03-17T12:39:42+0300 lvl=info msg="join connections" obj=join id=d9c0f7775cad l=127.0.0.1:8080 r=85.91.197.241:9736
t=2023-03-17T12:40:01+0300 lvl=info msg="join connections" obj=join id=0da1ca20783f l=127.0.0.1:8080 r=140.82.115.105:23869
t=2023-03-17T12:40:03+0300 lvl=info msg="join connections" obj=join id=6aa6a8644d23 l=127.0.0.1:8080 r=85.91.197.241:9757
t=2023-03-17T12:40:44+0300 lvl=info msg="join connections" obj=join id=3550eb1ab6a1 l=127.0.0.1:8080 r=85.91.197.241:4799
t=2023-03-17T12:41:51+0300 lvl=info msg="join connections" obj=join id=a23c5c7f7981 l=127.0.0.1:8080 r=140.82.115.53:19847
t=2023-03-17T12:42:05+0300 lvl=info msg="join connections" obj=join id=849246988364 l=127.0.0.1:8080 r=85.91.197.241:7503
t=2023-03-17T12:44:21+0300 lvl=info msg="join connections" obj=join id=2bf2c37ac2cd l=127.0.0.1:8080 r=85.91.197.241:4663
t=2023-03-17T12:44:25+0300 lvl=info msg="join connections" obj=join id=dd105c0a32ed l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=fc9054faafe2 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=01c93072facf l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=0dea665dec82 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=af02638d6825 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=c5456cee8c20 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=d767cec45aae l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=93f496b35a73 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=35d45b747c19 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=c5cec3e64a33 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=3d8880d7b1d9 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=1fb8f6015227 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=7723b8b30026 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=5f8e90636780 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=e589bcaaa283 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=2f353b02862b l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=09b04a744d04 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=c7f324a13222 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=9025343f3eac l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:32+0300 lvl=info msg="join connections" obj=join id=1f80e04a3cc5 l=127.0.0.1:8080 r=85.91.197.241:4670
t=2023-03-17T12:44:37+0300 lvl=info msg="join connections" obj=join id=c99916c81f76 l=127.0.0.1:8080 r=85.91.197.241:4681
t=2023-03-17T12:44:44+0300 lvl=info msg="join connections" obj=join id=4d9d060f0f01 l=127.0.0.1:8080 r=85.91.197.241:4685
t=2023-03-17T12:44:44+0300 lvl=info msg="join connections" obj=join id=d78b59dd65f6 l=127.0.0.1:8080 r=85.91.197.241:4685
t=2023-03-17T12:45:39+0300 lvl=info msg="join connections" obj=join id=19b7f8fd8f8c l=127.0.0.1:8080 r=85.91.197.241:12627
t=2023-03-17T12:45:39+0300 lvl=info msg="join connections" obj=join id=e7fff5816999 l=127.0.0.1:8080 r=85.91.197.241:12627
